Date,Open,High,Low,Close,Adj Close,Volume
2018-02-20,13.14,13.55,13.11,13.48,13.48,807100
2018-02-21,13.47,13.79,13.25,13.45,13.45,917400
2018-02-22,13.56,13.86,13.48,13.75,13.75,826300
2018-02-23,13.88,13.9,13.66,13.73,13.73,696400
2018-02-26,13.73,14.76,13.68,14.67,14.67,1635600
2018-02-27,14.82,14.95,13.98,14.07,14.07,1762200
2018-02-28,13.2,13.34,12.02,12.24,12.24,3891400
2018-03-01,12.75,13.67,12.64,12.92,12.92,1816900
2018-03-02,12.95,13.77,12.8,13.63,13.63,1722700
2018-03-05,13.49,13.77,13.46,13.52,13.52,1238100
2018-03-06,13.52,13.97,13.46,13.95,13.95,1193300
2018-03-07,13.78,14.35,13.74,14.32,14.32,1180000
2018-03-08,14.37,14.54,13.91,14.11,14.11,951000
2018-03-09,14.12,14.25,13.95,14.18,14.18,990100
2018-03-12,14.24,14.36,14.17,14.22,14.22,748800
2018-03-13,14.24,14.6,14.24,14.31,14.31,1353800
2018-03-14,14.37,14.5,14.13,14.19,14.19,740900
2018-03-15,14.18,14.44,14.12,14.31,14.31,603000
2018-03-16,14.35,14.98,14.35,14.87,14.87,1528100
2018-03-19,14.75,15.11,14.58,15.01,15.01,1486600
2018-03-20,15.07,15.49,15.06,15.34,15.34,999000
2018-03-21,15.33,15.59,15.33,15.55,15.55,713100
2018-03-22,15.49,15.85,15.49,15.5,15.5,843300
2018-03-23,15.58,15.76,15.41,15.41,15.41,1382300
2018-03-26,15.64,16.0,15.64,15.92,15.92,1626500
2018-03-27,16.0,16.129999,15.57,15.92,15.92,973100
2018-03-28,15.95,16.360001,15.91,16.059999,16.059999,976500
2018-03-29,16.190001,16.5,16.15,16.25,16.25,729300
2018-04-02,16.27,16.32,15.72,15.89,15.89,790900
2018-04-03,15.97,16.59,15.95,16.58,16.58,930800
2018-04-04,16.440001,17.07,16.27,17.02,17.02,986100
2018-04-05,17.209999,17.43,16.950001,17.32,17.32,1410500
2018-04-06,17.16,17.389999,16.370001,16.58,16.58,1342400
2018-04-09,16.77,17.26,16.450001,16.610001,16.610001,864800
2018-04-10,16.75,16.85,16.440001,16.809999,16.809999,1265500
2018-04-11,16.75,17.1,16.690001,16.92,16.92,859000
2018-04-12,16.959999,17.02,16.690001,16.75,16.75,997900
2018-04-13,16.860001,16.98,16.01,16.27,16.27,1275000
2018-04-16,15.63,16.07,15.32,16.049999,16.049999,1280300
2018-04-17,16.18,16.34,15.78,16.1,16.1,906200
2018-04-18,16.219999,16.219999,15.71,15.77,15.77,831800
2018-04-19,15.71,15.83,15.47,15.79,15.79,682400
