,symbol,date,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
10,2222.SR,2022-12-31,2022,FY,9.370612641359845,2.4692627509283422,2.886599847770274,2.3029514143186764,2.1010822640941753,5.9907308222735365,6.304441700205164,5.9907308222735365,1.6622285553857785,7122766397941.1,7289863397941.1,11.92663680239294,3.142804118272279,10.20231467924048,12.787938041981109,4.915927768028719,4.915927768028719,3.216532935196942,5.8157833248563575,10.441656541757524,13.087937503372764,0.08384593381760076,0.07819868979010786,0.27133664063341145,0.15770396530339473,0.13330838908558856,2.588615692877792,128.80848907903626,0.6055290634036508,0.039495609470123504,0.47104978943931414,0.03693125535823097,0.0019498114388055276,0.05670329300050864,-0.20219235925700993,-0.06228498133361102,-1.540756183282761,0.0,18.243779503744918,0.31587567018205664,0.2539646967320089,-0.341037677889052,526445000000,1524790000000,31054000000,0.27133664063341145,207133000000,60375000000,87615500000,39.910996557053934,23.281102239380733,35.77229875308317,9.14534918911939,15.6779518532671,10.203425911188923,0.4121805542902418,-0.5836484334515973
11,2222.SR,2021-12-31,2021,FY,6.208518285627114,1.633835179859,2.1605197805418817,1.665887376197203,1.356697164416233,4.602390292645276,4.709721534916968,4.602390292645276,2.1620824956477556,7157427453000.0,7368769453000.0,18.110761945126935,4.766032511896058,13.695778333757495,17.76230519709348,6.429267862676812,6.429267862676812,4.906762243317498,8.498304614185198,14.100182458510412,18.286784296548507,0.055215788437276106,0.05629899885762768,0.45894254426426245,0.2362432896069247,0.24373794094479562,2.011799439156365,64.01708409354785,0.6791250661125557,0.03930252899484051,0.7117987464670056,0.03961756821005781,0.002578977438442146,0.06540419570072456,-0.2289413912334649,-0.07966996014004919,-1.399013107891629,0.0,13.007298388221196,0.24751002471783412,0.19552492750740758,-1.6192157319935325,307413000000,1139219000000,-270781000000,0.45894254426426245,134417500000,45960000000,63351000000,40.4551765331032,30.63418367501737,41.3640383746014,9.022331164500837,11.914794396746498,8.824090063317403,0.3549970941121412,-0.4946324043446787
12,2222.SR,2020-12-31,2020,FY,3.564426871717828,0.7646004930793745,1.1795973896264793,0.761875772245423,0.8883623576054277,4.096789360969859,3.9597636050396834,4.096789360969859,2.2601579990774816,6996999385200.0,7325844385200.0,37.83675299957821,8.116311833901525,24.525317073786262,37.97206979654523,7.061627399157085,7.061627399157085,8.49776228402802,15.954640436268285,25.67795800586757,39.7566812570889,0.026429329176611633,0.026335145946955515,0.5410284927657926,0.2800438393719561,0.7161773385282479,1.6400532870634963,36.289284361984095,0.7660542822159689,0.03732800099317637,1.4123703535468242,0.05448380739388301,0.003282716093776643,0.07490462376865015,-0.3541221954664788,-0.117191804577475,-1.3257138358177618,0.0,8.395186789011756,0.11968306651846913,0.10442640187839451,-2.0487874702864852,155668000000,957707000000,-414288000000,0.5410284927657926,103649500000,37612000000,47303000000,43.34912439638043,31.67924854970377,45.01405233873607,8.420008594925088,11.52173794234185,8.108579011134829,0.18663407505490245,-0.41772161738105623
13,2222.SR,2019-12-31,2019,FY,4.646236998512599,1.2427782831291971,1.5647767807286266,1.103145296799548,0.83945086839316,3.8884343672226325,3.8995579721762788,3.8884343672226325,0.6822590406067923,7048729285760.561,7046608285760.561,21.307099069454196,5.699235748946309,16.92254149353481,24.004090917872684,6.809938782357205,6.809938782357205,5.697520818703785,9.7632394166955,16.917449411110777,23.99686795969501,0.046932714619682674,0.0416595655891068,0.16963668948326915,0.1175168627010038,-0.0029386947539934245,1.8935571111142038,111.9931961500166,0.624723843291473,0.03892730006730474,0.8294278390404334,0.029630857424693863,0.001738378133628723,0.005494181882920182,-0.2950142727157053,-0.09935599154258824,-2.4446345442247246,0.0,10.427386547287098,0.26744137950613356,0.22263423865532192,-0.46751730225434884,192625000000,1038026000000,-39695000000,0.16963668948326915,105651000000,35763000000,43093500000,30.961925476133686,27.333994408967364,30.148838949568265,11.788672519134902,13.353335576898186,12.106602201516182,0.31960891344987996,-0.4616314839290784
14,2222.SR,2018-12-31,2018,FY,5.014192336589031,1.5634710743801652,1.7043613824192336,1.2093726521412471,0.6908489857250187,3.8196168294515402,3.8334147257700977,3.8196168294515402,0.3917242674680691,7040990000000.0,6959156000000.0,16.917485992176765,5.2750270082365756,15.519009215320223,21.870843493251744,6.924778369404651,6.924778369404651,5.2137179366156765,8.271760280037798,15.33863932413638,21.61664932362123,0.05911043759471324,0.04572297361592617,0.0996457451056372,0.07526400865270902,-0.0972691560236059,2.0829287145096673,269.8225751943224,0.5686217251371106,0.030890542381114022,0.5225903180232391,0.0234121329539444,0.0016609503602846316,0.00592793767196962,-0.2904247511025984,-0.09871753954590201,-3.1878356800696763,0.0,11.591671994644306,0.3684575526942896,0.31101459585648655,-0.12113918106686701,198947000000,1020455000000,64926000000,0.0996457451056372,98727500000,30865500000,38796500000,29.09246706193839,24.25846199225016,32.136175749225224,12.546203084905395,15.04629601483418,11.357916475447453,0.4093266796619138,-0.49498873027798646
15,GOOG,2022-12-31,2022,FY,21.65168797366608,4.590982163362168,7.004133813059787,4.593891142922759,8.708719283472403,19.608359488632015,17.23187629181658,19.608359488632015,2.299318686366072,1159079990000.0,1166879990000.0,19.327019108917497,4.098063860328954,12.668233127493307,19.31478070321613,4.525110836092198,4.525110836092198,4.125641679277037,12.855348573317174,12.753483687633205,19.444759040159973,0.05174103644046171,0.0517738210630312,0.11586841776500718,0.08125355906960445,0.08593147515699019,2.377994227994228,209.64145658263305,1.5256286266924566,0.0,0.0,0.05559405450508422,0.13965690364734334,0.08499058215427746,-0.3441171648723974,-0.11131892686928113,-1.9767076845806129,0.06845663211189523,45.005406841454224,0.21093355716553497,0.17943869307641674,2.7689275051672664,95495000000,225100000000,55675000000,0.11586841776500718,40264000000,5582500000,1920000000,51.95296921184008,14.83102620381449,7.722082676323067,7.025584976899001,24.610569422776912,47.26704119850187,0.2341339246673746,-2.4102426701370283
16,GOOG,2021-12-31,2021,FY,19.294324566733792,5.694078799949039,6.863779019280171,5.018499974250457,10.458253788934847,18.84483735779433,17.019553828390546,18.84483735779433,2.152401178295415,1931911170617.8801,1937172170617.8801,25.408851033339207,7.498578118119215,21.0787671913093,28.82933162146899,7.677434262395455,7.677434262395455,7.518998321739036,21.25140881594954,21.13616910288788,28.907839948335823,0.03935636439002653,0.03468689503905485,0.11284201323345322,0.07903570593540199,0.05771488124622895,2.928113424845146,227.4971098265896,1.2054239606486656,0.0,0.0,0.052438120301043716,0.12250569599863374,0.06784072057628289,-0.26884301488238116,-0.09563843702573777,-1.9805481874447393,0.059680868819307786,49.1359313534286,0.22634254162565862,0.2270353394347482,4.703327212034241,123889000000,227262000000,80510000000,0.11284201323345322,35827000000,5813000000,949000000,57.05139401561111,19.862311720855605,3.849412740334779,6.397740253290291,18.376511512340567,94.81965811965811,0.30215590041131,-1.8452790450297147
17,GOOG,2020-12-31,2020,FY,13.405022953777575,2.9574083249364156,4.7827922161752,3.1464462704624117,10.03898715063345,16.34392406726389,14.682681515671806,16.34392406726389,1.9760854701895785,1192652932048.48,1191265932048.48,29.617147981039512,6.534117867759181,18.313569990302806,27.837754873572813,5.3591781043231,5.3591781043231,6.5265189919764195,21.69053607997815,18.292272158474294,27.805380856813947,0.03376422336952181,0.035922437155638906,0.12029980588108419,0.0837630156187425,-0.025254456401012364,3.0667558151810534,305.36296296296297,1.617224167473739,0.0,0.0,0.060549946035381066,0.15106258252203783,0.07077242691229475,-0.34213193292795285,-0.12206961161910293,-1.6267065780827918,0.0711730319350014,32.97805762502902,0.1325543789298059,0.135587684682622,4.665286111730136,117462000000,199924000000,77224000000,0.12029980588108419,29438000000,5575000000,863500000,62.758715148991655,24.075732899022803,3.136005287258651,5.815925312261025,15.160493827160494,116.39010989010988,0.18094848659141563,-1.6363459457127885
18,GOOG,2019-12-31,2019,FY,11.684810823736838,2.4792962807885615,3.9359180394430417,2.2359364181516854,8.639599988450954,14.542538549183513,12.91077854468001,14.542538549183513,1.159911869767633,926000481584.1499,922270481584.1499,26.963296205461084,5.7211024644232245,16.98460164314288,29.89798791115039,4.596859054140397,4.596859054140397,5.698057430844202,18.667175678746506,16.916186382688004,29.77755655379536,0.03708745371411461,0.03344706683846949,0.07926351009223498,0.05787052977612184,-0.07549690321013643,3.374051878552,342.31,1.5875141950324665,0.0,0.0,0.05900887820730645,0.16074683208016954,0.0819219380302926,-0.4319148936170213,-0.1454864479138993,-1.9988116458704694,0.06668849663591936,28.48233468502603,0.13033840384505394,0.13557910195573733,4.788255096168725,107357000000,178839000000,78111000000,0.07926351009223498,24342500000,4969500000,1053000000,61.99657722557566,28.23196005341048,5.071700790030043,5.887421795431398,12.928609962237008,71.96796796796797,0.17048579740074066,-1.6999816212913563
19,GOOG,2018-12-31,2018,FY,9.84210469812568,2.2110008843917215,3.450804380047998,1.6424249151624084,7.8510097775414005,12.777709041278394,11.331235662070014,12.777709041278394,0.30176824277795655,719814311805.6,707125311805.6,23.41925793224883,5.261069820752965,15.005197135886265,31.52655535238262,4.052369625315829,4.052369625315829,5.168326853767386,15.541898804466129,14.74068315869171,30.970800271793973,0.04269990120493861,0.03171929152495961,0.022974981421847906,0.017530671157084437,-0.27889137984087214,3.919006354708261,230.8859649122807,1.5607431025507548,0.0,0.0,0.05939233585978555,0.15654989438601363,0.08637753874703598,-0.5240457776573346,-0.18373910056351822,-2.7824017708909796,0.06836038854252699,25.212285394074236,0.12747880033737943,0.14451486712681724,5.0659838310978555,101056000000,157520000000,80512000000,0.022974981421847906,19949000000,3757500000,928000000,56.537798112835205,26.83453962283162,6.7852524811499775,6.45585806634266,13.601873001370489,53.79313459801265,0.17303578264688,-1.8083794648855898
