Date,Open,High,Low,Close,Adj Close,Volume
2021-01-25,73.18,74.75,71.050003,73.910004,73.910004,1102500
2021-01-26,74.559998,74.690002,71.800003,72.239998,72.239998,819000
2021-01-27,70.43,70.43,65.370003,65.800003,65.800003,2100100
2021-01-28,67.230003,70.809998,66.699997,70.370003,70.370003,1414100
2021-01-29,70.139999,72.07,68.5,70.019997,70.019997,1264100
2021-02-01,71.0,72.980003,68.580002,72.769997,72.769997,836800
2021-02-02,73.720001,76.089996,73.32,75.459999,75.459999,1424900
2021-02-03,75.889999,77.120003,73.949997,74.93,74.93,736700
2021-02-04,75.300003,76.800003,74.169998,75.040001,75.040001,615000
2021-02-05,75.720001,77.160004,74.809998,75.519997,75.519997,1062400
2021-02-08,76.959999,78.470001,76.349998,77.809998,77.809998,870000
2021-02-09,77.480003,81.07,77.25,79.879997,79.879997,900700
2021-02-10,81.360001,81.610001,76.809998,78.730003,78.730003,682300
2021-02-11,79.360001,79.910004,77.529999,79.480003,79.480003,653800
2021-02-12,79.220001,81.839996,78.720001,81.709999,81.709999,496000
2021-02-16,82.459999,83.199997,79.419998,81.239998,81.239998,773500
2021-02-17,80.830002,80.940002,77.360001,80.040001,80.040001,860200
2021-02-18,79.529999,80.660004,76.709999,79.900002,79.900002,870200
2021-02-19,81.050003,84.089996,81.0,82.370003,82.370003,783000
2021-02-22,82.32,83.980003,81.519997,83.139999,83.139999,1257300
2021-02-23,78.040001,82.029999,76.0,80.010002,80.010002,2047600
2021-02-24,80.75,81.129997,76.739998,77.739998,77.739998,1370200
2021-02-25,77.110001,78.650002,73.959999,75.559998,75.559998,1431400
2021-02-26,76.0,78.080002,74.339996,76.720001,76.720001,906200
2021-03-01,78.540001,81.580002,77.830002,80.529999,80.529999,1055800
2021-03-02,80.389999,81.980003,78.239998,78.269997,78.269997,645100
2021-03-03,79.470001,79.739998,76.309998,77.610001,77.610001,740200
2021-03-04,76.809998,77.75,73.5,75.160004,75.160004,1528400
2021-03-05,76.349998,76.370003,70.339996,75.300003,75.300003,1239300
2021-03-08,75.410004,78.529999,74.760002,75.440002,75.440002,874800
2021-03-09,76.699997,78.129997,76.099998,76.82,76.82,907700
2021-03-10,78.0,80.910004,76.889999,77.690002,77.690002,924200
2021-03-11,78.739998,82.82,77.800003,82.559998,82.559998,1376200
2021-03-12,81.309998,83.589996,80.730003,81.629997,81.629997,933600
2021-03-15,82.0,86.400002,81.629997,84.800003,84.800003,1057800
2021-03-16,84.790001,84.790001,81.330002,81.599998,81.599998,780700
2021-03-17,81.260002,81.809998,79.040001,81.660004,81.660004,971100
2021-03-18,80.57,81.779999,77.400002,77.870003,77.870003,913900
2021-03-19,77.629997,78.019997,75.120003,77.209999,77.209999,2126600
2021-03-22,77.879997,79.800003,76.699997,79.029999,79.029999,927900
2021-03-23,78.690002,80.589996,74.599998,75.139999,75.139999,1431900
2021-03-24,77.419998,78.059998,73.129997,73.25,73.25,1170700
