Date,Open,High,Low,Close,Adj Close,Volume
2021-01-12,131.259995,131.820007,129.320007,130.320007,118.242828,2196100
2021-01-13,130.410004,132.169998,130.169998,131.669998,119.467682,1694600
2021-01-14,131.949997,132.270004,131.009995,131.570007,119.376976,1848300
2021-01-15,131.679993,131.880005,130.020004,131.289993,119.122902,3343200
2021-01-19,132.199997,132.720001,130.800003,131.649994,119.449547,1865800
2021-01-20,131.039993,131.759995,130.110001,131.389999,119.213646,2013500
2021-01-21,130.800003,131.619995,130.550003,131.009995,118.868851,1745000
2021-01-22,131.820007,132.910004,130.679993,132.210007,119.957642,2497600
2021-01-25,133.600006,140.979996,133.25,136.509995,123.859169,4608900
2021-01-26,136.0,137.360001,133.029999,137.130005,124.421722,3134800
2021-01-27,137.429993,140.770004,137.130005,138.649994,125.800827,2906300
2021-01-28,138.339996,139.050003,134.820007,135.160004,122.634247,2421500
2021-01-29,134.679993,136.360001,131.990005,132.100006,119.857857,4039500
2021-02-01,132.300003,134.029999,132.259995,133.240005,120.89222,1563200
2021-02-02,133.240005,133.490005,130.850006,132.350006,120.084686,1799200
2021-02-03,131.800003,132.440002,130.259995,132.389999,120.120972,1734400
2021-02-04,131.970001,132.289993,130.729996,131.5,119.313438,1674100
2021-02-05,131.690002,132.369995,131.199997,132.169998,119.921371,1550600
2021-02-08,132.190002,132.669998,131.169998,132.190002,119.939491,1451000
2021-02-09,132.520004,132.830002,131.210007,132.429993,120.157249,1837200
2021-02-10,133.0,133.979996,132.389999,132.800003,120.492973,1543300
2021-02-11,133.050003,133.130005,131.75,132.089996,119.84877,1275500
2021-02-12,132.039993,132.5,131.300003,132.130005,119.885071,1721900
2021-02-16,131.630005,132.699997,128.729996,130.240005,118.170227,2960400
2021-02-17,129.509995,131.259995,128.800003,130.770004,118.651108,1752200
2021-02-18,130.410004,132.539993,130.190002,132.190002,119.939491,1453300
2021-02-19,131.869995,132.279999,130.350006,130.630005,118.524078,2058800
2021-02-22,130.0,131.259995,129.869995,131.059998,118.914215,1786000
2021-02-23,132.210007,133.550003,130.809998,131.990005,119.758057,1914100
2021-02-24,131.259995,131.899994,130.669998,130.809998,118.687386,1932100
2021-02-25,130.809998,132.529999,130.350006,130.559998,118.460564,1611600
2021-02-26,131.0,131.300003,128.199997,128.330002,116.437233,3012100
2021-03-01,129.220001,130.410004,128.139999,128.389999,116.491661,2291900
2021-03-02,128.229996,129.929993,128.020004,129.130005,117.163094,2413000
2021-03-03,129.339996,131.559998,128.809998,130.529999,118.43335,2975100
2021-03-04,129.580002,131.339996,128.380005,128.679993,117.783463,2331700
2021-03-05,129.0,132.779999,128.539993,131.589996,120.447037,2541900
2021-03-08,131.539993,134.679993,130.550003,133.149994,121.874954,1896600
2021-03-09,132.880005,133.929993,132.199997,132.330002,121.124397,2022400
2021-03-10,133.130005,135.440002,131.229996,134.440002,123.055702,2193900
2021-03-11,133.429993,133.919998,132.529999,132.550003,121.32576,1964100
2021-03-12,133.910004,134.660004,133.100006,133.470001,122.167839,2109700
